tiltle;Teilemarke,  Teilenummer;Unnamed: 2;Unnamed: 3;Preis;Unnamed: 5;interne Artikelnummer;Unnamed: 7;Unnamed: 8;Unnamed: 9;Zustand;Pfand;Unnamed: 12;Versandklasse ;Unnamed: 14;Unnamed: 15;Lieferzeit
;AS-PL, A6529S;;;263,48;;A6529S;;;;8.0;0;;1;;;3
;AS-PL, A6530S;;;155,35;;A6530S;;;;6.0;0;;1;;;3
;AS-PL, A6531S;;;237,68;;A6531S;;;;3.0;0;;1;;;3
;AS-PL, A6532S;;;165,99;;A6532S;;;;10.0;0;;1;;;3
;AS-PL, A6533S;;;240,89;;A6533S;;;;4.0;0;;1;;;3
;AS-PL, A6534S;;;195,89;;A6534S;;;;8.0;0;;1;;;3
;AS-PL, A6535S;;;155,35;;A6535S;;;;10.0;0;;1;;;3
;AS-PL, A6536S;;;159,41;;A6536S;;;;10.0;0;;1;;;3
;AS-PL, A6537S;;;187,55;;A6537S;;;;6.0;0;;1;;;3
;AS-PL, A6538S;;;214,28;;A6538S;;;;0.0;0;;1;;;3
;AS-PL, A6539S;;;165,53;;A6539S;;;;10.0;0;;1;;;3
;AS-PL, A6560S;;;181,06;;A6560S;;;;3.0;0;;1;;;3
;AS-PL, A6561S;;;158,44;;A6561S;;;;10.0;0;;1;;;3
;AS-PL, A6562S;;;171,45;;A6562S;;;;1.0;0;;1;;;3
;AS-PL, A6563S;;;190,21;;A6563S;;;;8.0;0;;1;;;3
;AS-PL, A6564S;;;156,97;;A6564S;;;;10.0;0;;1;;;3
;AS-PL, A6565S;;;193,63;;A6565S;;;;7.0;0;;1;;;3
;AS-PL, A6566S;;;185,67;;A6566S;;;;10.0;0;;1;;;3
;AS-PL, A6567S;;;217,46;;A6567S;;;;8.0;0;;1;;;3
;AS-PL, A6568S;;;177,34;;A6568S;;;;4.0;0;;1;;;3
;AS-PL, A6569S;;;186,99;;A6569S;;;;3.0;0;;1;;;3
;AS-PL, A6570S;;;211,84;;A6570S;;;;0.0;0;;1;;;3
;AS-PL, A6571S;;;169,04;;A6571S;;;;10.0;0;;1;;;3
;AS-PL, A6572S;;;214,48;;A6572S;;;;3.0;0;;1;;;3
;AS-PL, A6573S;;;213,2;;A6573S;;;;7.0;0;;1;;;3
;AS-PL, A6574S;;;209,28;;A6574S;;;;9.0;0;;1;;;3
;AS-PL, A6575S;;;176,41;;A6575S;;;;2.0;0;;1;;;3
;AS-PL, A6576S;;;159,67;;A6576S;;;;4.0;0;;1;;;3
;AS-PL, A6577S;;;233,7;;A6577S;;;;10.0;0;;1;;;3
;AS-PL, A6578S;;;263,48;;A6578S;;;;2.0;0;;1;;;3
;AS-PL, A6579S;;;300,21;;A6579S;;;;1.0;0;;1;;;3
;AS-PL, A6580S;;;278,76;;A6580S;;;;2.0;0;;1;;;3
;AS-PL, A6581S;;;218,91;;A6581S;;;;10.0;0;;1;;;3
;AS-PL, A6582S;;;241,62;;A6582S;;;;0.0;0;;1;;;3
;AS-PL, A6583S;;;221,45;;A6583S;;;;0.0;0;;1;;;3
;AS-PL, A6584S;;;313,84;;A6584S;;;;4.0;0;;1;;;3
;AS-PL, A6585S;;;241,34;;A6585S;;;;2.0;0;;1;;;3
;AS-PL, A6586S;;;223,59;;A6586S;;;;2.0;0;;1;;;3
;AS-PL, A6587S;;;230,26;;A6587S;;;;0.0;0;;1;;;3
;AS-PL, A6588S;;;240,82;;A6588S;;;;0.0;0;;1;;;3
;AS-PL, A6589S;;;275,72;;A6589S;;;;2.0;0;;1;;;3
;AS-PL, A6590(DENSO);;;481,31;;A6590(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6590S;;;244,63;;A6590S;;;;10.0;0;;1;;;3
;AS-PL, A6591S;;;252,5;;A6591S;;;;10.0;0;;1;;;3
;AS-PL, A6592S;;;157,56;;A6592S;;;;7.0;0;;1;;;3
;AS-PL, A6593S;;;237,48;;A6593S;;;;0.0;0;;1;;;3
;AS-PL, A6594S;;;136,06;;A6594S;;;;9.0;0;;1;;;3
;AS-PL, A6595S;;;134,15;;A6595S;;;;3.0;0;;1;;;3
;AS-PL, A6596S;;;209,93;;A6596S;;;;1.0;0;;1;;;3
;AS-PL, A6597S;;;134,59;;A6597S;;;;2.0;0;;1;;;3
;AS-PL, A6598S;;;155,65;;A6598S;;;;9.0;0;;1;;;3
;AS-PL, A6599S;;;186,14;;A6599S;;;;8.0;0;;1;;;3
;AS-PL, A6600S;;;224,07;;A6600S;;;;4.0;0;;1;;;3
;AS-PL, A6601S;;;211,71;;A6601S;;;;5.0;0;;1;;;3
;AS-PL, A6602S;;;264,6;;A6602S;;;;3.0;0;;1;;;3
;AS-PL, A6603S;;;166,1;;A6603S;;;;6.0;0;;1;;;3
;AS-PL, A6604(DENSO);;;266,31;;A6604(DENSO);;;;10.0;0;;1;;;3
;AS-PL, A6605S;;;77,31;;A6605S;;;;0.0;0;;1;;;3
;AS-PL, A6606S;;;135,33;;A6606S;;;;10.0;0;;1;;;3
;AS-PL, A6607S;;;110,73;;A6607S;;;;10.0;0;;1;;;3
;AS-PL, A6608S;;;153,29;;A6608S;;;;4.0;0;;1;;;3
;AS-PL, A6609S;;;159,43;;A6609S;;;;4.0;0;;1;;;3
;AS-PL, A6610S;;;248,72;;A6610S;;;;4.0;0;;1;;;3
;AS-PL, A6611(DENSO);;;329,83;;A6611(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6611S;;;159,47;;A6611S;;;;10.0;0;;1;;;3
;AS-PL, A6612S;;;132,09;;A6612S;;;;10.0;0;;1;;;3
;AS-PL, A6613S;;;157,85;;A6613S;;;;9.0;0;;1;;;3
;AS-PL, A6614S;;;152,41;;A6614S;;;;0.0;0;;1;;;3
;AS-PL, A6615S;;;104,84;;A6615S;;;;0.0;0;;1;;;3
;AS-PL, A6616S;;;258,97;;A6616S;;;;2.0;0;;1;;;3
;AS-PL, A6617S;;;309,41;;A6617S;;;;5.0;0;;1;;;3
;AS-PL, A6618S;;;161,19;;A6618S;;;;7.0;0;;1;;;3
;AS-PL, A6619S;;;141,81;;A6619S;;;;10.0;0;;1;;;3
;AS-PL, A6620S;;;162,65;;A6620S;;;;6.0;0;;1;;;3
;AS-PL, A6621S;;;87,17;;A6621S;;;;8.0;0;;1;;;3
;AS-PL, A6622S;;;245,08;;A6622S;;;;0.0;0;;1;;;3
;AS-PL, A6623(DENSO);;;298,07;;A6623(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6624S;;;168,32;;A6624S;;;;10.0;0;;1;;;3
;AS-PL, A6625S;;;262;;A6625S;;;;1.0;0;;1;;;3
;AS-PL, A6626(DENSO);;;214,02;;A6626(DENSO);;;;3.0;0;;1;;;3
;AS-PL, A6626PR;;;107,2;;A6626PR;;;;10.0;0;;1;;;3
;AS-PL, A6627S;;;179,78;;A6627S;;;;0.0;0;;1;;;3
;AS-PL, A6628S;;;195,37;;A6628S;;;;3.0;0;;1;;;3
;AS-PL, A6629(DENSO);;;249,2;;A6629(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6629S;;;130,91;;A6629S;;;;10.0;0;;1;;;3
;AS-PL, A6630(DENSO);;;351,82;;A6630(DENSO);;;;3.0;0;;1;;;3
;AS-PL, A6631S;;;177,99;;A6631S;;;;10.0;0;;1;;;3
;AS-PL, A6632S;;;151,53;;A6632S;;;;10.0;0;;1;;;3
;AS-PL, A6633S;;;198,74;;A6633S;;;;5.0;0;;1;;;3
;AS-PL, A6634S;;;169,62;;A6634S;;;;10.0;0;;1;;;3
;AS-PL, A6635S;;;113,24;;A6635S;;;;4.0;0;;1;;;3
;AS-PL, A6636S;;;236,37;;A6636S;;;;10.0;0;;1;;;3
;AS-PL, A6637S;;;112,79;;A6637S;;;;0.0;0;;1;;;3
;AS-PL, A6638S;;;743,85;;A6638S;;;;10.0;0;;1;;;3
;AS-PL, A6639S;;;148,87;;A6639S;;;;9.0;0;;1;;;3
;AS-PL, A6640S;;;214,45;;A6640S;;;;2.0;0;;1;;;3
;AS-PL, A6641S;;;247,72;;A6641S;;;;2.0;0;;1;;;3
;AS-PL, A6642S;;;272,37;;A6642S;;;;4.0;0;;1;;;3
;AS-PL, A6643S;;;171,94;;A6643S;;;;10.0;0;;1;;;3
;AS-PL, A6644S;;;189,59;;A6644S;;;;10.0;0;;1;;;3
;AS-PL, A6645S;;;240,62;;A6645S;;;;10.0;0;;1;;;3
;AS-PL, A6646S;;;151,37;;A6646S;;;;0.0;0;;1;;;3
;AS-PL, A6647S;;;117,21;;A6647S;;;;0.0;0;;1;;;3
;AS-PL, A6648S;;;105,88;;A6648S;;;;0.0;0;;1;;;3
;AS-PL, A6649S;;;170,53;;A6649S;;;;0.0;0;;1;;;3
;AS-PL, A6650S;;;202,34;;A6650S;;;;8.0;0;;1;;;3
;AS-PL, A6651S;;;149,61;;A6651S;;;;0.0;0;;1;;;3
;AS-PL, A6652S;;;184,4;;A6652S;;;;6.0;0;;1;;;3
;AS-PL, A6653S;;;158,15;;A6653S;;;;10.0;0;;1;;;3
;AS-PL, A6654S;;;148,87;;A6654S;;;;6.0;0;;1;;;3
;AS-PL, A6655(DENSO);;;263,86;;A6655(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6655PR;;;149,46;;A6655PR;;;;10.0;0;;1;;;3
;AS-PL, A6656(DENSO);;;329,83;;A6656(DENSO);;;;3.0;0;;1;;;3
;AS-PL, A6657(DENSO);;;249,2;;A6657(DENSO);;;;2.0;0;;1;;;3
;AS-PL, A6658S;;;414,6;;A6658S;;;;0.0;0;;1;;;3
;AS-PL, A6659S;;;159,95;;A6659S;;;;0.0;0;;1;;;3
;AS-PL, A6660(DENSO);;;288,3;;A6660(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6660S;;;162,99;;A6660S;;;;10.0;0;;1;;;3
;AS-PL, A6661S;;;144,89;;A6661S;;;;2.0;0;;1;;;3
;AS-PL, A6662S;;;172,26;;A6662S;;;;4.0;0;;1;;;3
;AS-PL, A6663S;;;158,3;;A6663S;;;;2.0;0;;1;;;3
;AS-PL, A6664S;;;205,01;;A6664S;;;;10.0;0;;1;;;3
;AS-PL, A6665S;;;175,47;;A6665S;;;;4.0;0;;1;;;3
;AS-PL, A6666S;;;164,73;;A6666S;;;;10.0;0;;1;;;3
;AS-PL, A6667S;;;195,69;;A6667S;;;;10.0;0;;1;;;3
;AS-PL, A6668S;;;136,65;;A6668S;;;;9.0;0;;1;;;3
;AS-PL, A6669(DENSO);;;351,82;;A6669(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6670S;;;288,23;;A6670S;;;;1.0;0;;1;;;3
;AS-PL, A6671S;;;185,22;;A6671S;;;;3.0;0;;1;;;3
;AS-PL, A6672S;;;233,9;;A6672S;;;;1.0;0;;1;;;3
;AS-PL, A6673S;;;236,91;;A6673S;;;;10.0;0;;1;;;3
;AS-PL, A6674S;;;196,45;;A6674S;;;;10.0;0;;1;;;3
;AS-PL, A6675S;;;114,56;;A6675S;;;;6.0;0;;1;;;3
;AS-PL, A6676S;;;190,13;;A6676S;;;;10.0;0;;1;;;3
;AS-PL, A6677S;;;253,13;;A6677S;;;;10.0;0;;1;;;3
;AS-PL, A6678(DENSO);;;461,77;;A6678(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6679(DENSO);;;366,47;;A6679(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6680(DENSO);;;256,53;;A6680(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6681S;;;193,43;;A6681S;;;;10.0;0;;1;;;3
;AS-PL, A6682(DENSO);;;400,68;;A6682(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6683S;;;204,95;;A6683S;;;;10.0;0;;1;;;3
;AS-PL, A6684S;;;178,4;;A6684S;;;;3.0;0;;1;;;3
;AS-PL, A6685S;;;204,98;;A6685S;;;;0.0;0;;1;;;3
;AS-PL, A6686PR;;;90,27;;A6686PR;;;;4.0;0;;1;;;3
;AS-PL, A6686S;;;134,29;;A6686S;;;;8.0;0;;1;;;3
;AS-PL, A6687PR;;;141,07;;A6687PR;;;;0.0;0;;1;;;3
;AS-PL, A6687SR;;;157,85;;A6687SR;;;;0.0;0;;1;;;3
;AS-PL, A6688S;;;189,16;;A6688S;;;;10.0;0;;1;;;3
;AS-PL, A6689S;;;249,46;;A6689S;;;;5.0;0;;1;;;3
;AS-PL, A6690S;;;121,63;;A6690S;;;;0.0;0;;1;;;3
;AS-PL, A6691S;;;140,18;;A6691S;;;;7.0;0;;1;;;3
;AS-PL, A6692(DENSO);;;354,26;;A6692(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6693S;;;143,42;;A6693S;;;;10.0;0;;1;;;3
;AS-PL, A6694S;;;131,35;;A6694S;;;;6.0;0;;1;;;3
;AS-PL, A6695S;;;151,53;;A6695S;;;;10.0;0;;1;;;3
;AS-PL, A6696S;;;142,83;;A6696S;;;;5.0;0;;1;;;3
;AS-PL, A6697S;;;139,75;;A6697S;;;;5.0;0;;1;;;3
;AS-PL, A6698S;;;154,18;;A6698S;;;;2.0;0;;1;;;3
;AS-PL, A6699S;;;118,84;;A6699S;;;;10.0;0;;1;;;3
;AS-PL, A6700PR;;;95,86;;A6700PR;;;;10.0;0;;1;;;3
;AS-PL, A6701S;;;157,85;;A6701S;;;;9.0;0;;1;;;3
;AS-PL, A6702S;;;116,92;;A6702S;;;;4.0;0;;1;;;3
;AS-PL, A6703S;;;158,74;;A6703S;;;;6.0;0;;1;;;3
;AS-PL, A6704S;;;112,95;;A6704S;;;;5.0;0;;1;;;3
;AS-PL, A6705S;;;111,62;;A6705S;;;;10.0;0;;1;;;3
;AS-PL, A6706S;;;155,2;;A6706S;;;;10.0;0;;1;;;3
;AS-PL, A6707S;;;228,06;;A6707S;;;;10.0;0;;1;;;3
;AS-PL, A6708S;;;282,68;;A6708S;;;;4.0;0;;1;;;3
;AS-PL, A6709S;;;173;;A6709S;;;;1.0;0;;1;;;3
;AS-PL, A6710S;;;174,99;;A6710S;;;;0.0;0;;1;;;3
;AS-PL, A6711S;;;148,43;;A6711S;;;;4.0;0;;1;;;3
;AS-PL, A6712S;;;189,33;;A6712S;;;;10.0;0;;1;;;3
;AS-PL, A6713S;;;163,33;;A6713S;;;;0.0;0;;1;;;3
;AS-PL, A6714(DENSO);;;395,8;;A6714(DENSO);;;;2.0;0;;1;;;3
;AS-PL, A6715(DENSO);;;344,48;;A6715(DENSO);;;;2.0;0;;1;;;3
;AS-PL, A6716(DENSO);;;249,2;;A6716(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6717S;;;213,2;;A6717S;;;;5.0;0;;1;;;3
;AS-PL, A6718S;;;222,95;;A6718S;;;;7.0;0;;1;;;3
;AS-PL, A6719S;;;239,71;;A6719S;;;;2.0;0;;1;;;3
;AS-PL, A6720S;;;180,8;;A6720S;;;;6.0;0;;1;;;3
;AS-PL, A6721S;;;203,9;;A6721S;;;;8.0;0;;1;;;3
;AS-PL, A6722S;;;66,56;;A6722S;;;;10.0;0;;1;;;3
;AS-PL, A6723(DENSO);;;249,2;;A6723(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6724S;;;211,38;;A6724S;;;;1.0;0;;1;;;3
;AS-PL, A6725S;;;202,83;;A6725S;;;;5.0;0;;1;;;3
;AS-PL, A6726S;;;179,51;;A6726S;;;;4.0;0;;1;;;3
;AS-PL, A6727S;;;176,2;;A6727S;;;;1.0;0;;1;;;3
;AS-PL, A6728(DENSO);;;249,2;;A6728(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6729(DENSO);;;420,23;;A6729(DENSO);;;;2.0;0;;1;;;3
;AS-PL, A6730S;;;259,07;;A6730S;;;;10.0;0;;1;;;3
;AS-PL, A6731(DENSO);;;386,02;;A6731(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6732S;;;202,9;;A6732S;;;;10.0;0;;1;;;3
;AS-PL, A6733S;;;181,6;;A6733S;;;;1.0;0;;1;;;3
;AS-PL, A6734S;;;144,89;;A6734S;;;;0.0;0;;1;;;3
;AS-PL, A6735PR;;;95,86;;A6735PR;;;;10.0;0;;1;;;3
;AS-PL, A6736PR;;;155,06;;A6736PR;;;;10.0;0;;1;;;3
;AS-PL, A6737S;;;245,46;;A6737S;;;;3.0;0;;1;;;3
;AS-PL, A6738S;;;184,81;;A6738S;;;;0.0;0;;1;;;3
;AS-PL, A6739S;;;197,17;;A6739S;;;;10.0;0;;1;;;3
;AS-PL, A6740S;;;259,8;;A6740S;;;;2.0;0;;1;;;3
;AS-PL, A6741S;;;242,08;;A6741S;;;;2.0;0;;1;;;3
;AS-PL, A6742S;;;224,35;;A6742S;;;;2.0;0;;1;;;3
;AS-PL, A6743S;;;233,23;;A6743S;;;;10.0;0;;1;;;3
;AS-PL, A6744S;;;234,71;;A6744S;;;;6.0;0;;1;;;3
;AS-PL, A6745PR;;;135,33;;A6745PR;;;;0.0;0;;1;;;3
;AS-PL, A6745SR;;;129,73;;A6745SR;;;;0.0;0;;1;;;3
;AS-PL, A6746S;;;153,43;;A6746S;;;;0.0;0;;1;;;3
;AS-PL, A6747S;;;179,27;;A6747S;;;;8.0;0;;1;;;3
;AS-PL, A6748S;;;178,43;;A6748S;;;;10.0;0;;1;;;3
;AS-PL, A6749S;;;122,37;;A6749S;;;;7.0;0;;1;;;3
;AS-PL, A6750S;;;209,44;;A6750S;;;;0.0;0;;1;;;3
;AS-PL, A6751S;;;216,89;;A6751S;;;;9.0;0;;1;;;3
;AS-PL, A6752S;;;201,52;;A6752S;;;;5.0;0;;1;;;3
;AS-PL, A6753S;;;167,28;;A6753S;;;;9.0;0;;1;;;3
;AS-PL, A6754S;;;193,42;;A6754S;;;;10.0;0;;1;;;3
;AS-PL, A6755S;;;149,31;;A6755S;;;;10.0;0;;1;;;3
;AS-PL, A6756S;;;149,76;;A6756S;;;;10.0;0;;1;;;3
;AS-PL, A6757S;;;194,22;;A6757S;;;;10.0;0;;1;;;3
;AS-PL, A6758S;;;237,55;;A6758S;;;;3.0;0;;1;;;3
;AS-PL, A6759(DENSO);;;243,84;;A6759(DENSO);;;;2.0;0;;1;;;3
;AS-PL, A6760S;;;179,65;;A6760S;;;;10.0;0;;1;;;3
;AS-PL, A6761S;;;273,38;;A6761S;;;;1.0;0;;1;;;3
;AS-PL, A6762(DENSO);;;280,96;;A6762(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6763S;;;275,1;;A6763S;;;;10.0;0;;1;;;3
;AS-PL, A6764S;;;237,91;;A6764S;;;;3.0;0;;1;;;3
;AS-PL, A6765S;;;213,2;;A6765S;;;;3.0;0;;1;;;3
;AS-PL, A6766S;;;229,81;;A6766S;;;;0.0;0;;1;;;3
;AS-PL, A6767S;;;217,52;;A6767S;;;;10.0;0;;1;;;3
;AS-PL, A6768S;;;199,06;;A6768S;;;;3.0;0;;1;;;3
;AS-PL, A6769S;;;197,54;;A6769S;;;;10.0;0;;1;;;3
;AS-PL, A6770S;;;152,26;;A6770S;;;;10.0;0;;1;;;3
;AS-PL, A6771S;;;153;;A6771S;;;;10.0;0;;1;;;3
;AS-PL, A6772(DENSO);;;251,65;;A6772(DENSO);;;;4.0;0;;1;;;3
;AS-PL, A6772S;;;107,2;;A6772S;;;;3.0;0;;1;;;3
;AS-PL, A6773S;;;274,79;;A6773S;;;;3.0;0;;1;;;3
;AS-PL, A6774S;;;144,01;;A6774S;;;;0.0;0;;1;;;3
;AS-PL, A6775S;;;105,43;;A6775S;;;;1.0;0;;1;;;3
;AS-PL, A6776S;;;245,84;;A6776S;;;;10.0;0;;1;;;3
;AS-PL, A6777S;;;243,71;;A6777S;;;;3.0;0;;1;;;3
;AS-PL, A6778S;;;216,05;;A6778S;;;;10.0;0;;1;;;3
;AS-PL, A6779S;;;184,12;;A6779S;;;;2.0;0;;1;;;3
;AS-PL, A6780S;;;213,42;;A6780S;;;;3.0;0;;1;;;3
;AS-PL, A6781(DENSO);;;356,7;;A6781(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6782(DENSO);;;461,77;;A6782(DENSO);;;;0.0;0;;1;;;3
;AS-PL, A6783S;;;168,96;;A6783S;;;;10.0;0;;1;;;3
;AS-PL, A6784S;;;232,47;;A6784S;;;;2.0;0;;1;;;3
;AS-PL, A6786(DENSO);;;224,03;;A6786(DENSO);;;;1.0;0;;1;;;3
;AS-PL, A6787S;;;216,32;;A6787S;;;;9.0;0;;1;;;3
;AS-PL, A6788S;;;193,69;;A6788S;;;;3.0;0;;1;;;3
;AS-PL, A6789S;;;215,86;;A6789S;;;;10.0;0;;1;;;3
;AS-PL, A6790S;;;208,45;;A6790S;;;;2.0;0;;1;;;3
;AS-PL, A6791S;;;214,04;;A6791S;;;;7.0;0;;1;;;3
;AS-PL, A6792S;;;195,05;;A6792S;;;;4.0;0;;1;;;3
;AS-PL, A6793S;;;182,54;;A6793S;;;;8.0;0;;1;;;3
;AS-PL, A6794S;;;202,7;;A6794S;;;;8.0;0;;1;;;3
;AS-PL, A6795S;;;145,34;;A6795S;;;;1.0;0;;1;;;3
;AS-PL, A6796S;;;255,73;;A6796S;;;;1.0;0;;1;;;3
;AS-PL, A6797S;;;99,99;;A6797S;;;;10.0;0;;1;;;3
;AS-PL, A6798S;;;190,27;;A6798S;;;;10.0;0;;1;;;3
;AS-PL, A6799S;;;158,74;;A6799S;;;;5.0;0;;1;;;3
;AS-PL, A6800S;;;204,53;;A6800S;;;;2.0;0;;1;;;3
;AS-PL, A6801S;;;175,61;;A6801S;;;;2.0;0;;1;;;3
;AS-PL, A6802S;;;158,74;;A6802S;;;;10.0;0;;1;;;3
;AS-PL, A6803S;;;257,74;;A6803S;;;;10.0;0;;1;;;3
;AS-PL, A6804S;;;201,03;;A6804S;;;;10.0;0;;1;;;3
;AS-PL, A6805S;;;199,88;;A6805S;;;;10.0;0;;1;;;3
;AS-PL, A6806S;;;196,03;;A6806S;;;;0.0;0;;1;;;3
;AS-PL, A6807S;;;138,86;;A6807S;;;;8.0;0;;1;;;3
;AS-PL, A6808S;;;108,38;;A6808S;;;;8.0;0;;1;;;3
;AS-PL, A6809S;;;153,73;;A6809S;;;;10.0;0;;1;;;3
;AS-PL, A6810S;;;195,05;;A6810S;;;;9.0;0;;1;;;3
;AS-PL, A6811S;;;131,79;;A6811S;;;;2.0;0;;1;;;3
;AS-PL, A6812S;;;140,48;;A6812S;;;;10.0;0;;1;;;3
;AS-PL, A6813S;;;140,63;;A6813S;;;;0.0;0;;1;;;3
;AS-PL, A6814S;;;151,96;;A6814S;;;;1.0;0;;1;;;3
;AS-PL, A6815S;;;147,11;;A6815S;;;;7.0;0;;1;;;3
;AS-PL, A6816S;;;173,08;;A6816S;;;;8.0;0;;1;;;3
;AS-PL, A6817S;;;228,72;;A6817S;;;;0.0;0;;1;;;3
;AS-PL, A6818S;;;287,68;;A6818S;;;;3.0;0;;1;;;3
;AS-PL, A6819S;;;216,18;;A6819S;;;;0.0;0;;1;;;3
;AS-PL, A6820S;;;265,31;;A6820S;;;;6.0;0;;1;;;3
;AS-PL, A6821S;;;212,08;;A6821S;;;;0.0;0;;1;;;3
;AS-PL, A6822S;;;220,6;;A6822S;;;;3.0;0;;1;;;3
;AS-PL, A6823S;;;191,56;;A6823S;;;;10.0;0;;1;;;3
;AS-PL, A6824S;;;186,32;;A6824S;;;;2.0;0;;1;;;3
;AS-PL, A6825S;;;145,48;;A6825S;;;;0.0;0;;1;;;3
;AS-PL, A6826S;;;100,87;;A6826S;;;;6.0;0;;1;;;3
;AS-PL, A6827S;;;100,13;;A6827S;;;;4.0;0;;1;;;3
;AS-PL, A6828S;;;155,5;;A6828S;;;;10.0;0;;1;;;3
;AS-PL, A6829S;;;220,99;;A6829S;;;;9.0;0;;1;;;3
;AS-PL, A9001;;;167,32;;A9001;;;;10.0;0;;1;;;3
;AS-PL, A9001SR;;;135,33;;A9001SR;;;;0.0;0;;1;;;3
;AS-PL, A9002;;;147,7;;A9002;;;;0.0;0;;1;;;3
;AS-PL, A9003;;;129,73;;A9003;;;;6.0;0;;1;;;3
;AS-PL, A9004;;;108,08;;A9004;;;;10.0;0;;1;;;3
;AS-PL, A9004S;;;95,57;;A9004S;;;;10.0;0;;1;;;3
;AS-PL, A9004SR;;;81,73;;A9004SR;;;;0.0;0;;1;;;3
;AS-PL, A9005;;;142,69;;A9005;;;;10.0;0;;1;;;3
;AS-PL, A9006;;;134,15;;A9006;;;;10.0;0;;1;;;3
;AS-PL, A9007;;;137,83;;A9007;;;;10.0;0;;1;;;3
;AS-PL, A9007SR;;;125,75;;A9007SR;;;;3.0;0;;1;;;3
;AS-PL, A9008;;;121,63;;A9008;;;;10.0;0;;1;;;3
;AS-PL, A9009;;;136,8;;A9009;;;;10.0;0;;1;;;3
;AS-PL, A9010;;;133,27;;A9010;;;;0.0;0;;1;;;3
;AS-PL, A9011;;;124,43;;A9011;;;;10.0;0;;1;;;3
;AS-PL, A9011PR;;;107,2;;A9011PR;;;;10.0;0;;1;;;3
;AS-PL, A9011SR;;;101,46;;A9011SR;;;;0.0;0;;1;;;3
;AS-PL, A9012;;;124,57;;A9012;;;;10.0;0;;1;;;3
;AS-PL, A9012ER;;;107,2;;A9012ER;;;;1.0;0;;1;;;3
;AS-PL, A9012SR;;;107,2;;A9012SR;;;;0.0;0;;1;;;3
;AS-PL, A9013;;;132,53;;A9013;;;;10.0;0;;1;;;3
;AS-PL, A9014;;;97,48;;A9014;;;;0.0;0;;1;;;3
;AS-PL, A9015;;;107,79;;A9015;;;;10.0;0;;1;;;3
;AS-PL, A9016;;;153,73;;A9016;;;;10.0;0;;1;;;3
;AS-PL, A9016PR;;;132,53;;A9016PR;;;;0.0;0;;1;;;3
;AS-PL, A9017;;;151,53;;A9017;;;;10.0;0;;1;;;3
;AS-PL, A9018;;;199,54;;A9018;;;;10.0;0;;1;;;3
;AS-PL, A9018SR;;;197,4;;A9018SR;;;;0.0;0;;1;;;3
;AS-PL, A9019;;;210,02;;A9019;;;;10.0;0;;1;;;3
;AS-PL, A9019SR;;;197,4;;A9019SR;;;;0.0;0;;1;;;3
;AS-PL, A9020;;;140,77;;A9020;;;;10.0;0;;1;;;3
;AS-PL, A9020PR;;;135,33;;A9020PR;;;;10.0;0;;1;;;3
;AS-PL, A9020SR;;;118,39;;A9020SR;;;;0.0;0;;1;;;3
;AS-PL, A9021;;;162,65;;A9021;;;;10.0;0;;1;;;3
;AS-PL, A9021(P);;;196,63;;A9021(P);;;;2.0;0;;1;;;3
;AS-PL, A9021(P2);;;176,54;;A9021(P2);;;;4.0;0;;1;;;3
;AS-PL, A9021(P3);;;252,15;;A9021(P3);;;;0.0;0;;1;;;3
;AS-PL, A9021PR;;;141,07;;A9021PR;;;;10.0;0;;1;;;3
;AS-PL, A9021SR;;;126,93;;A9021SR;;;;0.0;0;;1;;;3
;AS-PL, A9022;;;144,46;;A9022;;;;9.0;0;;1;;;3
;AS-PL, A9023;;;122,81;;A9023;;;;10.0;0;;1;;;3
;AS-PL, A9023PR;;;112,79;;A9023PR;;;;0.0;0;;1;;;3
;AS-PL, A9024;;;180,01;;A9024;;;;10.0;0;;1;;;3
;AS-PL, A9025;;;133,7;;A9025;;;;10.0;0;;1;;;3
;AS-PL, A9029;;;137,68;;A9029;;;;10.0;0;;1;;;3
;AS-PL, A9031;;;148,13;;A9031;;;;10.0;0;;1;;;3
;AS-PL, A9033;;;202,83;;A9033;;;;1.0;0;;1;;;3
;AS-PL, A9034;;;139,16;;A9034;;;;10.0;0;;1;;;3
;AS-PL, A9035;;;188,37;;A9035;;;;10.0;0;;1;;;3
;AS-PL, A9035PR;;;197,4;;A9035PR;;;;0.0;0;;1;;;3
