tiltle;Teilemarke,  Teilenummer;Unnamed: 2;Unnamed: 3;Preis;Unnamed: 5;interne Artikelnummer;Unnamed: 7;Unnamed: 8;Unnamed: 9;Zustand;Pfand;Unnamed: 12;Versandklasse ;Unnamed: 14;Unnamed: 15;Lieferzeit
;Airstal, 10-0100;;;281,13;;10-0100;;;;14.0;0;;1;;;3
;Airstal, 10-0102;;;268,05;;10-0102;;;;36.0;0;;1;;;3
;Airstal, 10-0103;;;307,28;;10-0103;;;;1.0;0;;1;;;3
;Airstal, 10-0104;;;337,79;;10-0104;;;;1.0;0;;1;;;3
;Airstal, 1001040;;;353,05;;14885;;;;1.0;0;;1;;;3
;Airstal, 10-0106;;;268,05;;10-0106;;;;10.0;0;;1;;;3
;Airstal, 10-0108;;;268,05;;10-0108;;;;8.0;0;;1;;;3
;Airstal, 10-0109;;;274,59;;10-0109;;;;2.0;0;;1;;;3
;Airstal, 10-0110;;;283,31;;10-0110;;;;1.0;0;;1;;;3
;Airstal, 10-0111;;;335,62;;10-0111;;;;1.0;0;;1;;;3
;Airstal, 10-0112;;;281,13;;10-0112;;;;74.0;0;;1;;;3
;Airstal, 10-0113;;;324,72;;10-0113;;;;31.0;0;;1;;;3
;Airstal, 10-0115;;;281,13;;10-0115;;;;13.0;0;;1;;;3
;Airstal, 10-0116;;;257,16;;10-0116;;;;30.0;0;;1;;;3
;Airstal, 10-0117;;;296,38;;10-0117;;;;10.0;0;;1;;;3
;Airstal, 10-0118;;;318,17;;10-0118;;;;10.0;0;;1;;;3
;Airstal, 10-0119;;;307,28;;10-0119;;;;6.0;0;;1;;;3
;Airstal, 10-0121;;;335,62;;10-0121;;;;1.0;0;;1;;;3
;Airstal, 10-0122;;;316;;10-0122;;;;5.0;0;;1;;;3
;Airstal, 10-0123;;;261,52;;10-0123;;;;2.0;0;;1;;;3
;Airstal, 10-0124;;;257,16;;10-0124;;;;81.0;0;;1;;;3
;Airstal, 10-0125;;;331,26;;10-0125;;;;1.0;0;;1;;;3
;Airstal, 10-0126;;;337,79;;10-0126;;;;1.0;0;;1;;;3
;Airstal, 10-0127;;;257,16;;10-0127;;;;34.0;0;;1;;;3
;Airstal, 10-0128;;;368,31;;10-0128;;;;27.0;0;;1;;;3
;Airstal, 10-0129;;;254,98;;10-0129;;;;1.0;0;;1;;;3
;Airstal, 10-0132;;;285,48;;10-0132;;;;3.0;0;;1;;;3
;Airstal, 10-0133;;;283,31;;10-0133;;;;5.0;0;;1;;;3
;Airstal, 10-0135;;;324,72;;10-0135;;;;4.0;0;;1;;;3
;Airstal, 10-0136;;;346,51;;10-0136;;;;3.0;0;;1;;;3
;Airstal, 10-0137;;;346,51;;10-0137;;;;2.0;0;;1;;;3
;Airstal, 10-0138;;;300,74;;10-0138;;;;32.0;0;;1;;;3
;Airstal, 10-0139;;;313,82;;10-0139;;;;21.0;0;;1;;;3
;Airstal, 10-0140;;;268,05;;10-0140;;;;1.0;0;;1;;;3
;Airstal, 10-0141;;;363,95;;10-0141;;;;15.0;0;;1;;;3
;Airstal, 10-0142;;;342,15;;10-0142;;;;16.0;0;;1;;;3
;Airstal, 10-0143;;;296,38;;10-0143;;;;46.0;0;;1;;;3
;Airstal, 10-0144;;;346,51;;10-0144;;;;2.0;0;;1;;;3
;Airstal, 10-0145;;;283,31;;10-0145;;;;25.0;0;;1;;;3
;Airstal, 10-0146;;;281,13;;10-0146;;;;13.0;0;;1;;;3
;Airstal, 10-0147;;;337,79;;10-0147;;;;2.0;0;;1;;;3
