ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
G00306C,1,1,1
G00307A,1,1,1
G00307C,1,1,1
G00309A,1,1,1
G00310B,1,1,1
G00310C,1,1,1
G00311C,1,1,1
G00312C,0,0,0
G00314V,1,1,1
G00316V,0,0,0
G00318G,1,1,1
G00319G,1,1,1
G00319R,0,0,0
G00320G,1,1,1
G00321C,1,1,1
G00321G,1,1,1
G00323C,1,1,1
G00324G,1,1,1
G00325C,1,1,1
G00325G,1,1,1
G00325N,1,1,1
G00326C,0,0,0
G00326G,1,1,1
G00328G,1,1,1
G00329G,1,1,1
G00330C,0,0,0
G00330G,1,1,1
G00331G,1,1,1
G00332G,0,0,0
G00332N,1,1,1
G00333G,1,1,1
G00334AC,0,0,0
G00334C,1,1,1
G00334G,1,1,1
G00335AC,0,0,0
G00337C,1,1,1
G00338V,1,1,1
G00341AC,0,0,0
G00341C,1,1,1
G00341W,0,0,0
G00342V,1,1,1
G00345C,1,1,1
G00346G,1,1,1
G00347B,1,1,1
G00348W,1,1,1
G00349G,1,1,1
G00349R,0,0,0
G00351C,1,1,1
G00353G,1,1,1
G00353N,1,1,1
G00354G,1,1,1
G00355C,0,0,0
G00355R,1,1,1
G00356C,1,1,1
G00358G,1,1,1
G00358N,1,1,1
G00358R,1,1,1
G00359C,1,1,1
G00359R,1,1,1
G00360C,1,1,1
G00360G,0,0,0
G00361C,1,1,1
G00365A,1,1,1
G00366C,1,1,1
G00368C,0,0,0
G00369C,1,1,1
G00369G,1,1,1
G00371A,1,1,1
G00373R,1,1,1
G00374A,1,1,1
G00377V,1,1,1
G00378A,1,1,1
G00378C,1,1,1
G00380G,1,1,1
G00381A,1,1,1
G00382C,1,1,1
G00383C,1,1,1
G00385C,1,1,1
G00386AC,1,1,1
G00388G,1,1,1
G00389A,1,1,1
G00390C,1,1,1
G00391G,1,1,1
G00392V,1,1,1
G00393V,1,1,1
G00394V,1,1,1
G00396A,1,1,1
G00398C,1,1,1
G00399C,1,1,1
G00400G,1,1,1
G00402C,0,0,0
G00403C,1,1,1
G00404G,0,0,0
G00406G,1,1,1
G00407C,1,1,1
G00408A,1,1,1
G00408C,1,1,1
G00409G,1,1,1
G00410A,1,1,1
G00410C,1,1,1
G00411A,1,1,1
G00411C,0,0,0
G00412A,1,1,1
G00412C,1,1,1
G00413C,1,1,1
G00414C,1,1,1
G00415B,1,1,1
G00416B,1,1,1
G00417B,1,1,1
G00417C,1,1,1
G00418C,1,1,1
G00419A,1,1,1
G00419C,1,1,1
G00420A,1,1,1
G00420C,1,1,1
G00421C,1,1,1
G00422C,1,1,1
G00422G,1,1,1
G00423C,1,1,1
