platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
Departo-Germany,100144,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100145,1,25,24,20250812_135901,0,0,25,0,0,0,0,0
Departo-Germany,100146,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-Germany,100147,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100148,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100149,1,29,28,20250812_135901,0,0,29,0,0,0,0,0
Departo-Germany,100150,1,3,2,20250812_135901,0,0,0,0,3,0,0,0
Departo-Germany,100151,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100152,1,48,47,20250812_135901,0,0,48,0,0,0,0,0
Departo-Germany,100153,1,37,36,20250812_135901,0,0,37,0,0,0,0,0
Departo-Germany,100154,1,24,23,20250812_135901,0,0,24,0,0,0,0,0
Departo-Germany,100156,1,25,24,20250812_135901,0,0,25,0,0,0,0,0
Departo-Germany,100157,1,20,19,20250812_135901,0,0,20,0,0,0,0,0
Departo-Germany,100158,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100163,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-Germany,100164,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100165,1,3,2,20250812_135901,0,0,2,0,0,0,1,0
Departo-Germany,100166,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100168,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100173,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-Germany,100177,1,28,27,20250812_135901,0,0,28,0,0,0,0,0
Departo-Germany,100179,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100180,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100181,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100182,1,3,2,20250812_135901,0,0,2,0,0,0,1,0
Departo-Germany,100183,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100185,1,18,17,20250812_135901,0,0,18,0,0,0,0,0
Departo-Germany,100186,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100187,1,4,3,20250812_135901,0,0,1,0,3,0,0,0
Departo-Germany,100188,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100190,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100191,1,19,18,20250812_135901,0,0,19,0,0,0,0,0
Departo-Germany,100198,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100199,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100201,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100203,1,59,58,20250812_135901,0,0,59,0,0,0,0,0
Departo-Germany,100209,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100210,1,132,131,20250812_135901,0,0,132,0,0,0,0,0
Departo-Germany,100211,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100212,1,18,17,20250812_135901,0,0,18,0,0,0,0,0
Departo-Germany,100214,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100217,1,33,32,20250812_135901,0,0,33,0,0,0,0,0
Departo-Germany,100219,1,114,113,20250812_135901,0,0,114,0,0,0,0,0
Departo-Germany,100220,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100222,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100223,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100224,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100225,1,35,34,20250812_135901,0,0,35,0,0,0,0,0
Departo-Germany,100226,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100233,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100235,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100243,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100247,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100248,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100249,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100256,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100259,1,46,45,20250812_135901,0,0,46,0,0,0,0,0
Departo-Germany,100260,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100261,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100263,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100265,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-Germany,100266,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
