platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
07,0040160016,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040160019,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040160020,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0040160021,9,4,-5,20250812_135901,0,4,0,0,0,0,0,0
07,0040160029,10,5,-5,20250812_135901,0,5,0,0,0,0,0,0
07,0040170001,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0040170003,0,7,7,20250812_135901,0,7,0,0,0,0,0,0
07,0040170006,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040170009,7,0,-7,20250812_135901,0,0,0,0,0,0,0,0
07,0040170014,6,1,-5,20250812_135901,0,1,0,0,0,0,0,0
07,0040170021,6,7,1,20250812_135901,0,7,0,0,0,0,0,0
07,0040170022,5,7,2,20250812_135901,0,7,0,0,0,0,0,0
07,0040170031,10,7,-3,20250812_135901,0,7,0,0,0,0,0,0
07,0040170032,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040170033B,5,10,5,20250812_135901,0,10,0,0,0,0,0,0
07,0040170035B,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040170037B,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040170037B,1,10,9,20250812_135901,0,10,0,0,0,0,0,0
07,0040170046,4,10,6,20250812_135901,0,10,0,0,0,0,0,0
07,0040170048,0,2,2,20250812_135901,0,2,0,0,0,0,0,0
07,0040170050,0,9,9,20250812_135901,0,9,0,0,0,0,0,0
07,0040170051,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040170055,6,10,4,20250812_135901,0,10,0,0,0,0,0,0
07,0040170056,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040170057,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040170059,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040180004,6,9,3,20250812_135901,0,9,0,0,0,0,0,0
07,0040180005,9,10,1,20250812_135901,0,10,0,0,0,0,0,0
07,0040180008,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040180009,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040180010,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040180011,0,4,4,20250812_135901,0,4,0,0,0,0,0,0
07,0040180012,5,10,5,20250812_135901,0,10,0,0,0,0,0,0
07,0040180015,0,1,1,20250812_135901,0,1,0,0,0,0,0,0
07,0040180016,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040180018,0,6,6,20250812_135901,0,6,0,0,0,0,0,0
07,0040180019,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040220005,1,0,-1,20250812_135901,0,0,0,0,0,0,0,0
07,0040220006,5,4,-1,20250812_135901,0,4,0,0,0,0,0,0
07,004026029,10,7,-3,20250812_135901,0,7,0,0,0,0,0,0
07,004028077,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,004028082,10,2,-8,20250812_135901,0,2,0,0,0,0,0,0
07,0070160001,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0070160006,0,7,7,20250812_135901,0,7,0,0,0,0,0,0
07,0080160006,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0080160009,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
