platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
Departo-France,100222,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-France,100223,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100224,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-France,100225,1,35,34,20250812_135901,0,0,35,0,0,0,0,0
Departo-France,100226,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100233,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-France,100235,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-France,100243,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-France,100247,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-France,100248,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100249,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-France,100256,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-France,100259,1,46,45,20250812_135901,0,0,46,0,0,0,0,0
Departo-France,100260,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-France,100261,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-France,100263,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-France,100265,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-France,100266,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100267,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-France,100268,1,60,59,20250812_135901,0,0,60,0,0,0,0,0
Departo-France,100269,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-France,100276,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-France,100280,1,2,1,20250812_135901,0,0,1,0,0,0,1,0
Departo-France,100282,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100284,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100285,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100288,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100290,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-France,100293,1,18,17,20250812_135901,0,0,18,0,0,0,0,0
Departo-France,100295,1,21,20,20250812_135901,0,0,21,0,0,0,0,0
Departo-France,100297,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100299,1,6,5,20250812_135901,0,0,0,0,0,0,6,0
Departo-France,100306,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100312,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100313,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-France,100318,1,63,62,20250812_135901,0,0,63,0,0,0,0,0
Departo-France,100319,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100321,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100327,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100328,1,11,10,20250812_135901,0,0,11,0,0,0,0,0
Departo-France,100329,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-France,100332,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100334,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-France,100340,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100346,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-France,100347,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100349,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100355,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100364,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100367,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-France,100368,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100370,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100371,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100373,1,4,3,20250812_135901,0,0,1,0,0,0,3,0
Departo-France,100375,1,16,15,20250812_135901,0,0,16,0,0,0,0,0
Departo-France,100383,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-France,100385,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100388,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-France,100390,1,44,43,20250812_135901,0,0,44,0,0,0,0,0
Departo-France,100392,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-France,100393,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-France,100396,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
